title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
"Regulatory update: Delaware Public Service Commission; SUEZ Water Delaware Inc. , has issued ( 16-SU-0172-NDS ) Docket Filing Application",urn:contentItem:5J3T-RJ61-DXCW-D0DN-00000-00,2016-02-17,"February 17, 2016 Wednesday",127,4,U.S. Federal; Delaware,2016-02-17,US Official News,,News,Available,400469,USOFFN2016,202 words,,202,English,11782
"Delaware : PrideStaff Expands With New Staffing and Employment Agency in Wilmington, DE",urn:contentItem:5J3R-FK61-J9XT-P18J-00000-00,2016-02-16,"February 16, 2016 Tuesday",127,5,U.S. Federal; Delaware; Maryland; Pennsylvania,2016-02-16,US Official News,,News,Available,400469,USOFFN2016,302 words,,302,English,11782
"NEWLY-SIGNED DELAWARE LAW CHANGES SIZE, POSSESSION LIMITS FOR AMERICAN EEL",urn:contentItem:5J3C-32J1-JDKC-R3SW-00000-00,2016-02-12,"February 12, 2016 Friday",127,6,U.S. Federal; Delaware,2016-02-12,US States News,,News,Available,296938,USSTNW2016,336 words,,336,English,11782
"NEWLY-SIGNED DELAWARE LAW CHANGES SIZE, POSSESSION LIMITS FOR AMERICAN EEL",urn:contentItem:5J2Y-H9X1-DYTH-G057-00000-00,2016-02-12,"February 12, 2016 Friday",127,7,U.S. Federal; Delaware,2016-02-12,States News Service,States News Service,News,Available,8058,SNS2016,332 words,States News Service,332,English,11782
Delaware : Two Great Events on College & Career Readiness,urn:contentItem:5J3R-FK61-J9XT-P18H-00000-00,2016-02-16,"February 16, 2016 Tuesday",127,8,U.S. Federal; Delaware,2016-02-16,US Official News,,News,Available,400469,USOFFN2016,370 words,,370,English,11782
Delaware : Delaware Earns Universal Triple-A Credit Rating,urn:contentItem:5J3T-RJ41-J9XT-P0YX-00000-00,2016-02-17,"February 17, 2016 Wednesday",126,9,U.S. Federal; Delaware,2016-02-17,US Official News,,News,Available,400469,USOFFN2016,406 words,,406,English,11782
"Regulatory update: Delaware Public Service Commission; Broadview Networks , has issued ( 16-0172 ) Docket Filing Application",urn:contentItem:5J2R-S971-DXCW-D42W-00000-00,2016-02-12,"February 12, 2016 Friday",126,10,U.S. Federal; Delaware,2016-02-12,US Official News,,News,Available,400469,USOFFN2016,248 words,,248,English,11782
Delaware : DNREC Division of Fish & Wildlife seeks volunteers for Delaware Citizen Osprey Monitoring Program,urn:contentItem:5J4W-FFM1-DXCW-D22X-00000-00,2016-02-22,"February 22, 2016 Monday",127,1,U.S. Federal; Delaware; Virginia,2016-02-22,US Official News,,News,Available,400469,USOFFN2016,713 words,,713,English,12765
Delaware : DNREC Division of Fish & Wildlife seeks volunteers for Delaware Citizen Osprey Monitoring Program,urn:contentItem:5J4W-FFJ1-DXCW-D36G-00000-00,2016-02-22,"February 22, 2016 Monday",127,2,U.S. Federal; Delaware; Virginia,2016-02-22,US Official News,,News,Available,400469,USOFFN2016,713 words,,713,English,12765
Delaware : DNREC Division of Fish & Wildlife seeks volunteers for Delaware Citizen Osprey Monitoring Program,urn:contentItem:5J64-8MC1-DXCW-D0K7-00000-00,2016-02-22,"February 22, 2016 Monday",127,3,U.S. Federal; Delaware; Virginia,2016-02-22,US Official News,,News,Available,400469,USOFFN2016,713 words,,713,English,12765
